lend,lent,lent,pożyczać
let,let,let,pozwalać
lie,lay,lain,"leżeć, kłaść się"
lose,lost,lost,"tracić, zgubić"
make,made,made,"robić, wykonywać"
put,put,put,kłaść
say,said,said,mówić
see,saw,seen,widzieć
sell,sold,sold,sprzedawać
shine,shone,shone,"świecić, błyszczeć"
show,showed,shown,pokazywać
spell,spelt,spelt,literować
steal,stole,stolen,kraść
sweep,swept,swept,"zmiatać, zamiatać"
teach,taught,taught,uczyć
tell,told,told,powiedzieć
think,thought,thought,"myśleć, sądzić, uważać"
wear,wore,worn,"nosić, zakładać"